OBJECT_ID,CONTRACT_ID,S_INFO_SCCODE,VOLATILITY_TYPE,TERM,W_ANAL_UNDERLYINGIMPLIEDVOL,APPLY_MODEL,SOURCE1,TRADE_DT,OPDATE,OPMODE
{005EB109-614C-42D2-AFAF-B84D1D12221E},QvhjcYKzxY,510050OP.SH,715008000,3M,16.1600,Heston,Wind,20250715,2025-07-15,0
{047DF381-3339-4AAA-8AD3-D78627D3EB2A},QvhjcYKzxY,510050OP.SH,715310000,9M,17.5300,Heston,Wind,20250715,2025-07-15,0
{04C5C85B-0211-4307-910F-4D5442B87739},QvhjcYKzxY,510050OP.SH,715002000,1M,22.5700,Spline,Wind,20250715,2025-07-15,0
{06BFCCC4-5252-427C-8016-6C322B0DFB47},QvhjcYKzxY,510050OP.SH,715008000,3M,16.0900,Spline,Wind,20250715,2025-07-15,0
{06CE9C8A-8BE1-4C5C-B5A3-491614701B31},QvhjcYKzxY,510050OP.SH,715306000,6M,16.3200,Linear,Wind,20250715,2025-07-15,0
{07498B50-902C-4A7C-A9D9-68A5717BC71E},QvhjcYKzxY,510050OP.SH,715309000,2M,14.5100,Spline,Wind,20250715,2025-07-15,0
{08486040-E3B0-4568-B82E-8768DA73D99F},QvhjcYKzxY,510050OP.SH,715006000,3M,14.7500,Linear,Wind,20250715,2025-07-15,0
{0A57A407-A367-4E90-AE9B-4CF1A1945E6F},QvhjcYKzxY,510050OP.SH,715305000,6M,16.9000,Linear,Wind,20250715,2025-07-15,0
{0AE0688D-E15F-4043-A16B-208DB7B07E8B},QvhjcYKzxY,510050OP.SH,715002000,2M,19.3800,Linear,Wind,20250715,2025-07-15,0
{0B05C13A-13C9-4DAA-B665-51423C58AC85},QvhjcYKzxY,510050OP.SH,715302000,1Y,16.7400,Spline,Wind,20250715,2025-07-15,0
{0C191676-DBE2-41AD-9A0B-C1067FC6D8E7},QvhjcYKzxY,510050OP.SH,715003000,1Y,16.3500,Heston,Wind,20250715,2025-07-15,0
{0C238A38-A53A-4174-8A5C-3597C76F564D},QvhjcYKzxY,510050OP.SH,715308000,1Y,15.9300,Linear,Wind,20250715,2025-07-15,0
{0E5F23BC-2EC6-4358-9429-97CB73DBF749},QvhjcYKzxY,510050OP.SH,715001000,1Y,16.9000,Linear,Wind,20250715,2025-07-15,0
{0ECC2027-F797-4B31-A957-0E550D38176B},QvhjcYKzxY,510050OP.SH,715004000,1M,15.1400,Heston,Wind,20250715,2025-07-15,0
{0F5B0E2C-838B-46D1-AD7C-5520E6AC64BC},QvhjcYKzxY,510050OP.SH,715306000,3M,16.2000,Heston,Wind,20250715,2025-07-15,0
{0FA9573F-F3DD-497D-9550-7CD2D48DA31B},QvhjcYKzxY,510050OP.SH,715004000,6M,15.8900,Heston,Wind,20250715,2025-07-15,0
{105986EA-5992-4914-AFE3-CAA4D39A5A0C},QvhjcYKzxY,510050OP.SH,715307000,1M,12.8600,Linear,Wind,20250715,2025-07-15,0
{10C47FD3-52AA-4053-B4FD-57B9CD959CEF},QvhjcYKzxY,510050OP.SH,715303000,1M,12.9700,Heston,Wind,20250715,2025-07-15,0
{10EEDF4F-2A66-4D4A-BB84-C98DBDDB2C60},QvhjcYKzxY,510050OP.SH,715304000,6M,16.7400,Spline,Wind,20250715,2025-07-15,0
{12EA5386-97C9-4A87-890B-9ADC18AE2AF6},QvhjcYKzxY,510050OP.SH,715009000,3M,18.1200,Heston,Wind,20250715,2025-07-15,0
