OBJECT_ID,S_INFO_WINDCODE,TRADE_DT,W_ANAL_UNDERLYINGIMPLIEDVOL,W_ANAL_DELTA,W_ANAL_THETA,W_ANAL_GAMMA,W_ANAL_VEGA,W_ANAL_RHO,SURGED_LIMIT,DECLINE_LIMIT,OPDATE,OPMODE
{E81C0977-30A5-46F7-B167-E7F12523A8D7},10008793.SH,20250715,,1.00000000,-0.07000000,0E-8,0E-8,0.46400000,0.75920000,0.18540000,2025-07-16,1
{5778C861-9776-4D69-8AA9-F46627C9E220},10008794.SH,20250715,,1.00000000,-0.07100000,0E-8,0E-8,0.47400000,0.71010000,0.13630000,2025-07-16,1
{BC86180E-4E53-4242-A298-3990450BC831},10008795.SH,20250715,,1.00000000,-0.07300000,0E-8,0E-8,0.48400000,0.66100000,0.08720000,2025-07-16,1
{384B6E89-666C-4017-A212-A556291B09F9},10008796.SH,20250715,,1.00000000,-0.07400000,0E-8,0E-8,0.49300000,0.61460000,0.04080000,2025-07-16,1
{BEDE1A7A-6F83-4055-82EA-7704A7442470},10008797.SH,20250715,,1.00000000,-0.07600000,0E-8,0E-8,0.50300000,0.56690000,0.00010000,2025-07-16,1
{2CCCCF0D-147B-41EE-AE05-119C5E7D1F99},10008798.SH,20250715,,0.97600000,-0.09200000,0.48600000,0.07200000,0.49900000,0.52170000,0.00010000,2025-07-16,1
{DA9F28F6-CCCE-4468-819E-950AFC6E3073},10008799.SH,20250715,,0.92200000,-0.11900000,1.16000000,0.18400000,0.47800000,0.47690000,0.00010000,2025-07-16,1
{8CCF5703-F384-4E27-97EA-37FD879F037E},10008800.SH,20250715,,0.79600000,-0.17400000,1.84100000,0.35700000,0.41500000,0.44030000,0.00010000,2025-07-16,1
{D3292F0A-3A99-44B5-B887-B650A4C62A6C},10008801.SH,20250715,,0.67600000,-0.20800000,2.14200000,0.45200000,0.35500000,0.40650000,0.00010000,2025-07-16,1
{47B92832-07FF-4EDA-8633-86A5C8207BDB},10008802.SH,20250715,,-0.03300000,-0.05100000,0.25500000,0.09200000,-0.01900000,0.19720000,0.00010000,2025-07-16,1
{00D95811-B7B9-4C49-97C0-907FC0FEE57B},10008803.SH,20250715,,-0.04400000,-0.06100000,0.34100000,0.11700000,-0.02500000,0.20820000,0.00010000,2025-07-16,1
{D84A94FC-749A-4075-A59D-684399D955E9},10008804.SH,20250715,,-0.05400000,-0.06600000,0.43200000,0.13700000,-0.03100000,0.21920000,0.00010000,2025-07-16,1
{2E2395AF-0F55-4266-A46D-A555A19A7091},10008805.SH,20250715,,-0.07400000,-0.08100000,0.58100000,0.17700000,-0.04300000,0.23150000,0.00010000,2025-07-16,1
{A7CAA6C5-BA61-4A1C-A13D-2E15B17F2056},10008806.SH,20250715,,-0.09900000,-0.09300000,0.76600000,0.21900000,-0.05700000,0.24400000,0.00010000,2025-07-16,1
{EF44429A-FAD3-4B0E-B02A-B2771072FF22},10008807.SH,20250715,,-0.13700000,-0.11000000,1.01100000,0.27600000,-0.07900000,0.25860000,0.00010000,2025-07-16,1
{D215F2AD-EB34-4715-8851-76DBA29AC6C1},10008808.SH,20250715,,-0.18900000,-0.12800000,1.30100000,0.34100000,-0.10900000,0.27580000,0.00010000,2025-07-16,1
{B7E4F539-AC02-4D46-92ED-66BC5DB0B283},10008809.SH,20250715,,-0.26200000,-0.14900000,1.58900000,0.41000000,-0.15200000,0.29600000,0.00010000,2025-07-16,1
{D7C3C529-4CCF-4E33-A5AC-3F8A602C042C},10008810.SH,20250715,,-0.35000000,-0.16400000,1.80700000,0.46600000,-0.20400000,0.32180000,0.00010000,2025-07-16,1
{AE8F4F21-95EB-4D8D-B897-581A6C0B2832},10008885.SH,20250715,,0.56100000,-0.21800000,2.30700000,0.49600000,0.29600000,0.37830000,0.00010000,2025-07-16,1
{C93A4349-FD7B-4298-B3ED-96FAEF995886},10008886.SH,20250715,,-0.44500000,-0.17300000,1.88900000,0.49800000,-0.26100000,0.35300000,0.00010000,2025-07-16,1
{E5FCA261-368F-4647-93EF-3E0F1F1B7DC0},10008895.SH,20250715,,0.44800000,-0.21500000,2.24300000,0.49800000,0.23800000,0.35180000,0.00010000,2025-07-16,1
{09870309-1225-4293-A848-679FC35A6176},10008896.SH,20250715,,-0.53700000,-0.17300000,1.84000000,0.50000000,-0.31800000,0.38470000,0.00010000,2025-07-16,1
{170E635C-6702-47CF-B7D2-F01F2427D997},10008905.SH,20250715,,0.35000000,-0.20400000,2.00100000,0.46700000,0.18600000,0.33040000,0.00010000,2025-07-16,1
{167B3553-62C5-42E9-8B58-F88413DBB583},10008906.SH,20250715,,-0.61800000,-0.16700000,1.68100000,0.48000000,-0.37000000,0.41770000,0.00010000,2025-07-16,1
{F91CC937-D889-40BE-BFF8-55C0DA5919C1},10009039.SH,20250715,,0.27200000,-0.18800000,1.70000000,0.41800000,0.14500000,0.31380000,0.00010000,2025-07-16,1
{2F1F7F68-FB7E-4336-96B2-4E643FD6523D},10009040.SH,20250715,,-0.68700000,-0.15400000,1.49400000,0.44600000,-0.41500000,0.45470000,0.00010000,2025-07-16,1
{6EE50058-63FC-49DE-AB50-F21738D37DDC},10009163.SH,20250715,,1.00000000,-0.06800000,0E-8,0E-8,0.45500000,0.80790000,0.23410000,2025-07-16,1
{64BFC3B1-2460-44D2-BD45-6ECD13809682},10009164.SH,20250715,,-0.02700000,-0.04600000,0.20300000,0.07800000,-0.01600000,0.18650000,0.00010000,2025-07-16,1
{FE7E41B0-97F8-432C-9FE7-AA7B9D103DFC},10009217.SH,20250715,,1.00000000,-0.07200000,0E-8,0E-8,1.09500000,0.68420000,0.11040000,2025-07-16,1
{62B27C46-FE9F-4812-A9C2-7394448F785A},10009218.SH,20250715,,0.99600000,-0.07500000,0.08600000,0.02200000,1.11200000,0.63710000,0.06330000,2025-07-16,1
{D0DB0A15-2E1F-4B48-9F6F-7634A736105A},10009219.SH,20250715,,0.92300000,-0.10400000,0.65900000,0.27500000,1.03800000,0.59570000,0.02190000,2025-07-16,1
{2CC2655F-9F6B-47B9-8934-3A432661870D},10009220.SH,20250715,,0.86100000,-0.12400000,0.92500000,0.42200000,0.97700000,0.55620000,0.00010000,2025-07-16,1
{60DFB401-73E6-495A-978C-3DE978789358},10009221.SH,20250715,,0.79800000,-0.13900000,1.13500000,0.53500000,0.91400000,0.51860000,0.00010000,2025-07-16,1
{DBC2CEAC-07D2-4AF4-845D-0AA14F442910},10009222.SH,20250715,,0.72800000,-0.15100000,1.29300000,0.63100000,0.84000000,0.48430000,0.00010000,2025-07-16,1
{F6ED546D-4E72-40D5-83BB-070A0607E66F},10009223.SH,20250715,,0.65300000,-0.16200000,1.37700000,0.70300000,0.75700000,0.45590000,0.00010000,2025-07-16,1
{0C39E5F7-AEC1-4DA3-A43D-239B0EEABEE0},10009224.SH,20250715,,0.58000000,-0.16500000,1.43300000,0.74300000,0.67700000,0.42580000,0.00010000,2025-07-16,1
{588AD8A7-1A9E-493F-8A7B-534B35C57687},10009225.SH,20250715,,0.50800000,-0.16400000,1.43800000,0.75900000,0.59700000,0.39980000,0.00010000,2025-07-16,1
{96B0073E-AD43-4519-9E78-C7E94B83569A},10009226.SH,20250715,,-0.09800000,-0.05700000,0.51300000,0.32900000,-0.13100000,0.22940000,0.00010000,2025-07-16,1
{24A9F70A-20B7-4E9C-85F1-ABE09C30A210},10009227.SH,20250715,,-0.12600000,-0.06600000,0.62600000,0.39400000,-0.16900000,0.24440000,0.00010000,2025-07-16,1
{37F94CEC-90EE-42B2-BAB0-EAA9B61CF63A},10009228.SH,20250715,,-0.16100000,-0.07500000,0.75000000,0.46500000,-0.21700000,0.26210000,0.00010000,2025-07-16,1
{29F7DFC8-A277-4B47-B4BF-23F4E98094D5},10009229.SH,20250715,,-0.20400000,-0.08500000,0.87400000,0.53900000,-0.27600000,0.28210000,0.00010000,2025-07-16,1
{A2DEBEB9-132B-4521-8928-8D28FE357AF3},10009230.SH,20250715,,-0.25500000,-0.09500000,0.98400000,0.61100000,-0.34600000,0.30510000,0.00010000,2025-07-16,1
{23DF37A5-3E99-4146-8708-7D6A52017C8A},10009231.SH,20250715,,-0.30900000,-0.10100000,1.08300000,0.67000000,-0.42100000,0.32950000,0.00010000,2025-07-16,1
{E8452C57-7D25-4E75-B169-88777D0928A8},10009232.SH,20250715,,-0.36700000,-0.10600000,1.14800000,0.71600000,-0.50400000,0.35860000,0.00010000,2025-07-16,1
{520123AC-D67C-41DF-BE83-FAFC4BA8CA49},10009233.SH,20250715,,-0.42600000,-0.10600000,1.19200000,0.74600000,-0.58900000,0.39070000,0.00010000,2025-07-16,1
{9C04D555-0E2E-4344-8F4F-573E02D000A5},10009234.SH,20250715,,-0.48600000,-0.10500000,1.19600000,0.75800000,-0.67600000,0.41950000,0.00010000,2025-07-16,1
{A97D0A71-0EA2-442D-8D58-A09DE6B9A18E},10009311.SH,20250715,,0.44000000,-0.15900000,1.40300000,0.75000000,0.51900000,0.37380000,0.00010000,2025-07-16,1
{D06C9C45-28D4-4B9C-AECD-234D45FA7F8D},10009312.SH,20250715,,-0.54200000,-0.10300000,1.16100000,0.75500000,-0.76100000,0.44950000,0.00010000,2025-07-16,1
{7C976134-46BC-4F9D-8114-96D81439FFB8},10009317.SH,20250715,,0.37800000,-0.15300000,1.31800000,0.72300000,0.44700000,0.35180000,0.00010000,2025-07-16,1
{AFE109E2-C3D3-4217-9FDC-9C7FA7B8AB80},10009318.SH,20250715,,-0.59300000,-0.09800000,1.10600000,0.73800000,-0.84100000,0.48280000,0.00010000,2025-07-16,1
{4A8929E3-683B-498B-9B1B-FD9C4955728D},10009323.SH,20250715,,1.00000000,-0.07500000,0E-8,0E-8,0.05600000,0.60590000,0.03210000,2025-07-16,1
{3904EE06-20CC-42FB-946C-4D8EE2FD6179},10009324.SH,20250715,,1.00000000,-0.07600000,0E-8,0E-8,0.05700000,0.55610000,0.00010000,2025-07-16,1
{F996BF20-CBC5-4E85-8189-58A3B751E495},10009325.SH,20250715,,1.00000000,-0.07700000,0E-8,0E-8,0.05800000,0.50690000,0.00010000,2025-07-16,1
{2D905023-2AF9-4D2C-9A47-59AD1646EFF5},10009326.SH,20250715,,0.99800000,-0.08700000,0.11800000,0.00300000,0.05900000,0.45670000,0.00010000,2025-07-16,1
{15B6A23E-B61F-491D-BF8F-7E5F6ABF2858},10009327.SH,20250715,,0.98000000,-0.13800000,0.91200000,0.02100000,0.05900000,0.40820000,0.00010000,2025-07-16,1
{708280A5-BACA-4D90-92D2-83077D1A9935},10009328.SH,20250715,,0.86100000,-0.33900000,4.15100000,0.09300000,0.05300000,0.36290000,0.00010000,2025-07-16,1
{683AE899-8534-439F-9414-6A91DB74067D},10009329.SH,20250715,,0.55600000,-0.51500000,7.59100000,0.16700000,0.03400000,0.32390000,0.00010000,2025-07-16,1
{A08FDD1E-FD9C-43B4-A3F4-05454199DC37},10009330.SH,20250715,,0.24000000,-0.44400000,5.20100000,0.13100000,0.01500000,0.29870000,0.00010000,2025-07-16,1
{5C1C96C9-CD13-46CB-BBFF-E9CA4F041844},10009331.SH,20250715,,0.10400000,-0.30500000,2.50700000,0.07600000,0.00600000,0.28530000,0.00010000,2025-07-16,1
{8CCACECC-F737-468A-A1AC-7CC41C83D831},10009332.SH,20250715,,-0.00800000,-0.06400000,0.15600000,0.00900000,0E-8,0.22360000,0.00010000,2025-07-16,1
{EF33ECCB-69D7-430C-A683-4750740860B4},10009333.SH,20250715,,-0.00600000,-0.04400000,0.16500000,0.00800000,0E-8,0.23360000,0.00010000,2025-07-16,1
