OBJECT_ID,S_INFO_WINDCODE,TRADE_DT,W_ANAL_UNDERLYINGIMPLIEDVOL,THEORE_PRICE,W_ANAL_DELTA,W_ANAL_THETA,W_ANAL_GAMMA,W_ANAL_VEGA,W_ANAL_RHO,OPDATE,OPMODE
{88588FE0-3CD4-47C8-80E7-F2D311FC1454},10008793.SH,20250715,0.20200000,0.45750000,0.97010000,-0.00010000,0.23560000,0.00080000,-0.00100000,2025-07-15,0
{FA46A670-799C-4CFE-8C4A-5DAB0EEEA729},10008794.SH,20250715,0.19930000,0.40740000,0.95390000,-0.00020000,0.35110000,0.00120000,-0.00090000,2025-07-15,0
{A88E50AA-5FCF-44CC-AC6F-6B02E906986A},10008795.SH,20250715,0.18750000,0.36560000,0.94370000,-0.00020000,0.44170000,0.00140000,-0.00080000,2025-07-15,0
{CFAE4A4A-5D4E-4B81-9BC7-FB6661DA23BE},10008796.SH,20250715,0.18260000,0.31600000,0.91710000,-0.00030000,0.62100000,0.00190000,-0.00070000,2025-07-15,0
{5CCD26BC-BC94-4B47-838F-514A9E4BB101},10008797.SH,20250715,0.16740000,0.26910000,0.89630000,-0.00040000,0.80370000,0.00230000,-0.00060000,2025-07-15,0
{3E799F87-1CE3-4B78-9927-AEF33481DB7B},10008798.SH,20250715,0.15710000,0.22410000,0.86070000,-0.00040000,1.06050000,0.00290000,-0.00050000,2025-07-15,0
{D08E2BBB-0000-4D95-86EE-E92202B2D9C3},10008799.SH,20250715,0.14270000,0.17520000,0.81160000,-0.00050000,1.43070000,0.00350000,-0.00040000,2025-07-15,0
{55048B65-A6C9-42FA-928E-1DF502CCB5EF},10008800.SH,20250715,0.14770000,0.14000000,0.72170000,-0.00060000,1.72450000,0.00440000,-0.00030000,2025-07-15,0
{A178C39B-BD6E-4AE5-9317-3B7A5DD5AD76},10008801.SH,20250715,0.14680000,0.10720000,0.62790000,-0.00070000,1.95990000,0.00490000,-0.00020000,2025-07-15,0
{D382A76C-B635-4D5A-A09F-C4F5A69416AA},10008802.SH,20250715,0.21520000,0.00400000,-0.03460000,-0.00020000,0.27190000,0.00100000,0E-8,2025-07-15,0
{963BD531-5747-400F-9474-DD7F30F6416A},10008803.SH,20250715,0.20460000,0.00530000,-0.04630000,-0.00030000,0.36190000,0.00130000,0E-8,2025-07-15,0
{D0F6C675-3C18-4E3C-9418-62AD027FF064},10008804.SH,20250715,0.18840000,0.00610000,-0.05610000,-0.00030000,0.45770000,0.00150000,0E-8,2025-07-15,0
{443A5198-4594-4118-ADB7-7BDC048B974F},10008805.SH,20250715,0.17910000,0.00840000,-0.07700000,-0.00030000,0.61550000,0.00190000,0E-8,2025-07-15,0
{908616E6-3C80-449E-9E2A-34B00FEB93BE},10008806.SH,20250715,0.16760000,0.01110000,-0.10280000,-0.00040000,0.81570000,0.00230000,0E-8,2025-07-15,0
{CA327D8F-080F-4E88-AA4C-4297320D4828},10008807.SH,20250715,0.15950000,0.01600000,-0.14440000,-0.00050000,1.08800000,0.00300000,0E-8,2025-07-15,0
